duration_preprocessing,duration_computation,duration_block_sending,total_gflops,numPointsPerProcess,numBlocksX,numBlocksY,m,seed
0.000449108,0.0199484,0.0913263,0.971871,200,1,10,300,0
0.00035883,0.155366,0.0854153,3.427,200,1,10,600,0
0.000344362,0.14956,0.0886643,3.87641,200,1,10,1200,0
0.000367945,0.0165006,0.0911212,1.3545,400,1,10,300,0
0.000424042,0.168745,0.0947123,6.79214,400,1,10,600,0
0.000365612,0.180899,0.0908235,23.6644,400,1,10,1200,0
0.000364992,0.0169691,0.0932861,2.09098,800,1,10,300,0
0.000357325,0.167081,0.0896265,10.5159,800,1,10,600,0
0.000395236,0.192856,0.0942382,54.7804,800,1,10,1200,0
0.000327399,0.0183938,0.0905015,4.13307,1600,1,10,300,0
0.000273227,0.167794,0.0886773,16.2093,1600,1,10,600,0
0.000313843,0.203778,0.0842384,80.2002,1600,1,10,1200,0
0.00036052,0.0359471,0.104098,8.55561,3200,2,20,300,0
0.000405737,0.182854,0.0994948,44.5406,3200,2,20,600,0
0.000365226,0.258868,0.111384,274.937,3200,2,20,1200,0
0.000611231,0.0381502,0.109482,12.7067,5000,2,20,300,0
0.000448594,0.196843,0.112437,56.0171,5000,2,20,600,0
0.000621048,0.303131,0.106005,316.067,5000,2,20,1200,0
0.000988584,0.0427909,0.127363,30.6997,10000,2,20,300,0
0.00100884,0.205045,0.124354,99.0104,10000,2,20,600,0
0.000924133,0.287885,0.138459,440.274,10000,2,20,1200,0
0.00178524,0.0810524,0.237588,58.2171,20000,3,30,300,0
0.00188474,0.272207,0.265102,198.515,20000,3,30,600,0
0.00148474,0.416286,0.247502,928.84,20000,3,30,1200,0
0.00336171,0.191164,1.11265,105.034,40000,5,50,300,0
0.00335752,0.402926,1.12169,417.152,40000,5,50,600,0
0.00327145,0.75928,1.14921,2211.04,40000,5,50,1200,0
0.00696533,0.293536,4.01498,233.126,80000,6,60,300,0
0.0070645,0.539183,4.0253,795.537,80000,6,60,600,0
0.0145769,0.63477,20.6667,445.46,160000,9,90,300,0
0.014783,1.02518,20.6693,1606.2,160000,9,90,600,0
0.0313305,1.29572,94.263,878.506,320000,13,130,300,0
